                 #Pore_ID          Pore_Radius(mic)              Connectivity           Location_X(mic)           Location_Y(mic)           Location_Z(mic)              Inlet_Outlet     Pore_Radius_Insc(mic) 
                        1                  21.39103                         4                  64.66463                  41.46341                  14.89329                         1                  11.18034
                        2                   5.30392                         1                  25.00000                  64.00000                  48.00000                         0                   5.00000
                        3                  22.98645                         5                  29.06634                 158.83292                  24.39803                         0                  14.14214
                        4                  18.69628                         2                  31.82648                 267.10046                  20.63927                         0                  11.18034
                        5                  22.87294                         2                  20.92269                 346.79551                  26.53367                         0                  17.32051
                        6                  17.01251                         3                  17.57576                 393.93939                  26.15152                         0                  14.14214
                        7                  23.60949                         5                  53.73016                 422.19955                  16.72336                         0                  12.24745
                        8                  11.65107                         1                  49.05660                 491.32075                  24.33962                        -1                   8.66025
                        9                  20.45979                         3                  32.82230                  92.97909                  22.90941                         0                  14.14214
                       10                   4.47350                         0                  46.66667                 218.33333                   5.00000                         0                   5.00000
                       11                  32.52497                         7                  79.48395                 112.10755                  42.82741                         0                  18.02776
                       12                  21.28178                         4                  99.04025                 359.62848                  21.71827                         0                  11.18034
                       13                   6.20350                         4                 111.87500                 406.25000                  38.12500                         0                   5.00000
                       14                  25.56641                         3                  64.73214                 304.70536                  39.87500                         0                  15.00000
                       15                  25.13300                         5                 131.75752                 487.60338                  20.39474                        -1                  18.02776
                       16                  19.24892                         3                 106.48536                 218.70293                  27.86611                         0                  11.18034
                       17                  21.60625                         4                 146.36095                  28.00296                  22.78107                         1                  15.81139
                       18                  23.02404                         7                 124.35208                 171.36919                  19.97555                         0                  16.58312
                       19                   7.47566                         0                 132.50000                 286.42857                  35.71429                         0                   5.00000
                       20                  30.83029                         7                 131.74134                 449.19552                  48.08045                         0                  15.81139
                       21                   3.10175                         0                 165.00000                 230.00000                   5.00000                         0                   5.00000
                       22                  19.35572                         5                 153.95062                 199.93827                  24.46502                         0                  15.00000
                       23                  17.98672                         5                 164.56410                 156.76923                  18.66667                         0                  15.00000
                       24                  14.39706                         2                 170.25000                 429.15000                  14.20000                         0                  10.00000
                       25                   5.30392                         0                 214.00000                  66.00000                  29.00000                         0                   5.00000
                       26                  12.07511                         0                 174.06780                 283.38983                  13.72881                         0                   8.66025
                       27                   6.20350                         2                 175.00000                 117.50000                  11.87500                         0                   5.00000
                       28                  23.30214                         4                 176.14387                 343.44340                  30.47170                         0                  14.14214
                       29                  13.36505                         2                 251.00000                 458.81250                  21.00000                         0                  11.18034
                       30                   3.90796                         2                 212.50000                 190.00000                  20.00000                         0                   5.00000
                       31                   3.10175                         0                 200.00000                 410.00000                   5.00000                         0                   5.00000
                       32                  19.38223                         4                 202.68443                  17.78689                  22.11066                         1                  14.14214
                       33                  25.14874                         7                 209.08068                 148.26454                  18.97749                         0                  18.02776
                       34                  21.83814                         2                 202.13467                 248.65330                  34.51289                         0                  15.00000
                       35                  24.92659                         6                 224.87476                 279.44123                  32.49518                         0                  16.58312
                       36                  29.67849                         6                 264.66895                 320.47374                  31.93493                         0                  15.00000
                       37                  28.78212                         5                 253.08511                 416.50188                  21.06383                         0                  15.00000
                       38                  16.48052                         4                 267.50000                 126.96667                  21.16667                         0                  11.18034
                       39                   4.47350                         0                 243.33333                 101.66667                  65.00000                         0                   5.00000
                       40                  19.53982                         5                 252.10000                 186.90000                  46.16000                         0                  12.24745
                       41                   9.18893                         1                 270.38462                 495.96154                   8.07692                        -1                  10.00000
                       42                  21.77538                         4                 283.55491                  19.42197                  28.65607                         1                  11.18034
                       43                  15.21369                         3                 296.69492                 199.49153                  19.06780                         0                  10.00000
                       44                  20.94711                         4                 298.03571                  64.17208                  26.47727                         0                  12.24745
                       45                   6.20350                         3                 321.25000                 188.75000                   5.00000                         0                   5.00000
                       46                  15.79302                         3                 325.41667                 427.72727                  18.33333                         0                   8.66025
                       47                  28.01752                         6                 317.76119                 482.59159                  39.85753                        -1                  15.00000
                       48                  22.06521                         3                 317.68056                 267.26389                  32.65278                         0                  11.18034
                       49                  32.97934                         7                 354.96256                 156.27704                  29.22213                         0                  18.70829
                       50                  18.72469                         4                 340.79545                  89.02273                  14.04545                         0                  11.18034
                       51                   6.20350                         2                 335.62500                 221.25000                   5.00000                         0                   5.00000
                       52                  27.99215                         8                 362.17687                  27.58503                  31.96599                         1                  15.00000
                       53                   3.90796                         1                 370.00000                 247.50000                  80.00000                         0                   5.00000
                       54                   8.55750                         2                 346.66667                 343.09524                  10.00000                         0                  10.00000
                       55                  25.39791                         4                 384.18033                 393.90710                  20.78324                         0                  15.00000
                       56                   3.10175                         1                 355.00000                 470.00000                  10.00000                         0                   5.00000
                       57                  15.25654                         2                 396.09244                 300.12605                  13.44538                         0                  14.14214
                       58                  22.52545                         6                 388.23760                 261.59269                  42.27154                         0                  15.00000
                       59                   6.45191                         2                 408.88889                 167.22222                  26.66667                         0                   5.00000
                       60                  25.91174                         4                 394.34820                 478.09605                  40.77187                        -1                  14.14214
                       61                   7.10124                         0                 408.33333                 352.08333                  17.08333                         0                   5.00000
                       62                  10.33573                         6                 420.81081                 447.29730                  26.89189                         0                  12.24745
                       63                  13.30912                         3                 421.58228                  23.86076                  20.44304                         1                   8.66025
                       64                  27.64510                         4                 423.79237                 100.74153                  27.61299                         0                  17.32051
                       65                  26.78566                         6                 463.33851                 300.20186                  27.29037                         0                  15.81139
                       66                  34.05936                        10                 442.36027                 401.34441                  53.81798                         0                  15.81139
                       67                  14.63312                         3                 437.95238                 169.95238                  27.00000                         0                   8.66025
                       68                  18.52395                         4                 451.43192                 427.98122                  18.77934                         0                  15.00000
                       69                   6.20350                         0                 487.50000                 246.25000                  17.50000                         0                   5.00000
                       70                   3.10175                         1                 470.00000                 380.00000                  15.00000                         0                   5.00000
                       71                   5.93344                         1                 492.14286                 452.85714                   6.42857                         0                   5.00000
                       72                  32.97934                         5                 461.23544                 203.52329                  44.63394                         0                  18.70829
                       73                  16.25778                         2                 471.87500                  17.70833                  13.85417                         1                  11.18034
                       74                  11.50263                         3                 458.52941                 134.60784                  45.58824                         0                  10.00000
                       75                  16.44381                         4                 475.90604                 482.71812                  19.46309                        -1                  15.00000
                       76                  19.92305                         4                 476.20755                 155.88679                  22.86792                         0                  17.32051
