               #Throat_ID        Throat_Radius(mic)        Throat_Length(mic)                 Pore_ID_1                 Pore_ID_2      Hydrolic_Cond(mic^3)   Throat_Radius_Insc(mic) 
                        1                   7.44682                  47.26408                         5                         6                   7.49586                   7.07107 
                        2                  13.36920                  46.84727                         7                         6                 134.82987                  11.18034 
                        3                   8.83194                  61.09057                         1                         9                   6.40488                   7.07107 
                        4                   8.91225                  65.97765                         3                         9                  23.92483                  10.00000 
                        5                   8.03748                  77.39845                        11                         1                  24.01397                  10.00000 
                        6                  18.05986                  71.16768                        11                         3                 232.93597                  15.00000 
                        7                  21.94581                  54.22116                        11                         9                 566.16801                  14.14214 
                        8                   6.10045                  77.41506                        12                         7                   7.37639                   7.07107 
                        9                   1.40849                  63.97844                         7                        13                   0.06037                   5.00000 
                       10                   2.69546                  51.06347                        13                        12                   0.27704                   5.00000 
                       11                   8.45207                  53.54367                        14                         4                  17.21618                   7.07107 
                       12                  17.59258                  67.25521                        12                        14                  69.04577                  10.00000 
                       13                   4.88079                  82.87836                        15                         8                   3.70901                   7.07107 
                       14                   2.79580                  83.17264                        17                         1                   0.18299                   5.00000 
                       15                   8.89495                  77.76438                        18                        11                  21.64848                   8.66025 
                       16                  10.91111                  51.20511                        18                        16                  44.75848                   8.66025 
                       17                  27.59209                  47.34620                        20                        15                 528.45044                  11.18034 
                       18                  18.90550                  41.38141                        22                        18                1113.99008                  16.58312 
                       19                  18.04336                  42.80046                        23                        18                 453.41687                  15.00000 
                       20                  10.90370                  44.83116                        23                        22                 283.57768                  15.00000 
                       21                   7.81093                  55.06927                        24                        20                  12.07272                   8.66025 
                       22                   5.21124                  41.19596                        27                        23                   1.28355                   5.00000 
                       23                  11.55440                  57.24641                        32                        17                  70.03692                  10.00000 
                       24                  14.90714                  45.32275                        33                        23                 284.19490                  12.24745 
                       25                   5.44585                  46.45853                        33                        27                   1.24294                   5.00000 
                       26                   3.38936                  41.88778                        30                        33                   5.25478                   7.07107 
                       27                   3.97070                  80.46783                        35                        28                   0.38150                   5.00000 
                       28                  23.17944                  38.32858                        35                        34                 900.44270                  15.00000 
                       29                  18.86127                  57.16256                        36                        35                 141.63940                  10.00000 
                       30                  18.73841                  42.36202                        29                        37                 454.03316                  11.18034 
                       31                   9.29309                  97.33329                        37                        36                  25.25727                  11.18034 
                       32                   9.21723                  62.21904                        38                        33                  14.68861                   7.07107 
                       33                  11.59935                  63.89249                        40                        33                  28.66624                   7.07107 
                       34                   5.63212                  81.15141                        42                        32                   9.11123                  10.00000 
                       35                   6.21645                  53.67719                        43                        40                   1.40178                   5.00000 
                       36                  13.72684                  47.08517                        44                        42                  88.29381                  11.18034 
                       37                   3.24183                  83.47217                        45                        38                   2.41238                   7.07107 
                       38                   4.76674                  73.24834                        46                        37                   0.60399                   5.00000 
                       39                   2.53658                  58.59439                        47                        41                   0.21381                   5.00000 
                       40                   4.76037                  75.11348                        48                        36                   0.58742                   5.00000 
                       41                   7.25376                  92.59421                        49                        38                   6.37098                   7.07107 
                       42                   5.58413                  73.25108                        49                        43                   0.82886                   5.00000 
                       43                   3.19068                  52.70429                        49                        45                   0.37610                   5.00000 
                       44                   9.73502                  50.99510                        50                        44                  45.18448                   8.66025 
                       45                   7.79933                  70.38594                        49                        50                   8.61640                   7.07107 
                       46                   2.69771                  35.53717                        51                        45                   0.39874                   5.00000 
                       47                   3.56598                  56.60351                        51                        48                   0.43742                   5.00000 
                       48                  11.72889                  79.11386                        52                        42                   8.62260                   8.66025 
                       49                  13.09578                  74.04611                        52                        44                  50.07155                  10.00000 
                       50                  12.88114                  67.47518                        52                        50                  72.72684                  10.00000 
                       51                  10.07931                  67.84522                        55                        46                  22.12237                   7.07107 
                       52                  11.23697                  64.07339                        55                        54                  60.13880                  10.00000 
                       53                   5.33780                  44.21143                        58                        53                   1.25481                   5.00000 
                       54                  11.02709                  48.75927                        58                        57                  42.85627                  10.00000 
                       55                   5.58224                  55.08517                        59                        49                   5.64000                   7.07107 
                       56                  13.19460                  76.72428                        60                        47                  24.40974                   7.07107 
                       57                   2.48752                  50.60370                        60                        56                   0.23809                   5.00000 
                       58                   6.61134                  65.03553                        62                        55                  26.24756                  11.18034 
                       59                   9.39091                  42.91255                        62                        60                  26.51854                   7.07107 
                       60                  13.09742                  60.62715                        63                        52                  80.68783                  11.18034 
                       61                   3.94420                  84.91111                        64                        50                   0.35673                   5.00000 
                       62                   7.92370                  68.65656                        65                        57                  16.48926                   8.66025 
                       63                  18.01070                  85.76276                        65                        58                 116.81079                  10.00000 
                       64                  25.17478                  67.31651                        66                        55                 427.54093                  14.14214 
                       65                   9.53930                  57.45486                        66                        62                  82.77347                  14.14214 
                       66                   6.78208                  29.19335                        67                        59                   3.06780                   5.00000 
                       67                   6.80900                  37.10225                        68                        62                  78.34034                  12.24745 
                       68                  22.44569                  44.93907                        68                        66                 756.03824                  15.81139 
                       69                   4.81428                  52.21469                        70                        66                   0.86428                   5.00000 
                       70                  15.99473                  44.49790                        72                        67                  96.62465                  10.00000 
                       71                   3.95801                  51.09426                        73                        63                   0.59699                   5.00000 
                       72                  10.16524                  51.73682                        74                        64                  17.38560                   8.66025 
                       73                   4.52544                  65.91894                        75                        62                   0.60492                   5.00000 
                       74                   5.39042                  59.96314                        75                        68                   4.83125                   7.07107 
                       75                   3.61319                  36.40345                        75                        71                   0.69827                   5.00000 
                       76                  12.44673                  76.22904                        76                        64                  51.58104                   8.66025 
                       77                  23.87151                  54.47164                        76                        72                1079.84795                  17.32051 
                       78                  13.76720                  35.79836                        76                        74                 225.98395                  11.18034 
                       79                   3.86907                  53.38061                        77                        73                   0.54603                   5.00000 
                       80                   4.85223                  70.72278                        78                        65                   0.64820                   5.00000 
                       81                  14.03146                  63.06891                        78                        66                  55.14398                   8.66025 
                       82                  12.27883                  40.27225                        42                        80                  39.02741                   7.07107 
                       83                   6.35763                  61.74437                        66                        81                   1.27462                   5.00000 
                       84                   7.28824                  59.22593                        82                        72                  14.72276                   7.07107 
                       85                   2.55893                  58.97082                        28                        83                   0.21620                   5.00000 
                       86                   2.61086                  64.44705                        85                        15                   0.20594                   5.00000 
                       87                  19.72590                  57.64169                        85                        20                 389.98101                  15.81139 
                       88                   8.65719                  50.60222                        85                        24                  17.35072                   7.07107 
                       89                   3.77244                  47.33731                        29                        86                   5.76034                   7.07107 
                       90                  19.64431                  59.00006                        37                        86                 206.21400                  11.18034 
